CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9293188,2,1,3,F,57,7,0,N,P,-,VENTURA,VENTURA,2021
9293188,3,1,3,M,60,7,0,N,P,-,VENTURA,VENTURA,2021
9294504,2,1,4,F,35,7,1,P,-,0,VENTURA,VENTURA,2021
9302220,2,1,3,M,29,3,-,-,-,-,VENTURA,VENTURA,2021
9322010,2,1,4,M,22,4,1,P,V,2,VENTURA,OXNARD,2021
9324829,2,1,4,F,26,4,1,-,-,-,VENTURA,VENTURA,2021
9353055,1,1,4,M,58,6,1,P,-,-,VENTURA,VENTURA,2021
9354228,1,1,3,M,36,3,-,M,P,0,VENTURA,OXNARD,2021
9354228,2,1,2,F,21,0,8,P,-,0,VENTURA,OXNARD,2021
9354228,2,2,2,M,52,0,8,P,-,0,VENTURA,OXNARD,2021
9354357,1,1,2,M,76,3,-,P,-,-,VENTURA,VENTURA,2021
9368617,1,1,2,F,22,0,3,M,G,-,VENTURA,OXNARD,2021
9368617,2,1,3,M,30,4,-,P,-,-,VENTURA,OXNARD,2021
9370692,1,1,2,F,7,0,6,M,G,0,VENTURA,OXNARD,2021
9370692,2,1,4,M,27,4,-,P,V,2,VENTURA,OXNARD,2021
9373056,1,1,4,M,62,4,-,P,-,0,VENTURA,OXNARD,2021
9392202,1,1,4,M,32,6,1,P,V,1,VENTURA,VENTURA,2022
9420066,1,1,4,F,41,3,-,P,A,1,VENTURA,OXNARD,2022
9420066,2,1,2,F,16,0,3,M,G,0,VENTURA,OXNARD,2022
9423310,1,1,4,M,17,6,1,-,-,-,VENTURA,VENTURA,2022
9428768,2,1,3,M,39,3,-,-,P,-,VENTURA,"PORT HUENEME",2022
9430217,1,1,4,M,15,3,-,P,V,1,VENTURA,OXNARD,2022
9430217,2,1,2,M,17,0,3,M,G,0,VENTURA,OXNARD,2022
9430217,2,2,2,M,62,0,6,M,G,0,VENTURA,OXNARD,2022
9439459,2,1,4,M,41,4,-,-,-,0,VENTURA,"PORT HUENEME",2022
9443461,2,1,4,F,24,6,1,P,W,0,VENTURA,VENTURA,2022
94532987,2,1,4,M,12,6,0,P,W,1,VENTURA,OJAI,2024
9458092,1,1,3,M,40,3,-,P,-,0,VENTURA,OXNARD,2022
94586580,1,1,3,M,45,1,0,P,P,0,VENTURA,UNINCORPORATED,2024
9465283,1,1,2,F,14,0,3,M,G,0,VENTURA,OXNARD,2022
9465283,2,1,3,F,20,2,-,P,-,0,VENTURA,OXNARD,2022
9469682,2,1,4,M,63,3,-,P,-,0,VENTURA,OXNARD,2023
9473684,1,1,4,M,29,4,1,P,-,2,VENTURA,"PORT HUENEME",2022
